song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
For Once In My Life,Stevie Wonder,2,2.0,2,10,9efdb106-4dde-4df8-9483-e1bfd0093489,danceable,jaz,female,not_aggressive,voice,108.897949219,A#,0.827656745911,not_happy
Soulful Strut,Young-Holt Unlimited,4,16.0,4,6,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c,not_danceable,rhy,male,not_aggressive,voice,89.6971130371,A#,0.872257351875,happy
I Love How You Love Me,Bobby Vinton,11,9.0,9,10,0d37948f-2c4b-490d-b65d-ce77f1585285,not_danceable,pop,male,not_aggressive,voice,152.832504272,A#,0.77354490757,happy
Going Up The Country,Canned Heat,15,20.0,15,5,18db6336-5bb7-4156-963c-9c9a71172821,not_danceable,rhy,female,not_aggressive,instrumental,162.41696167,A#,0.86390799284,happy
Bring It On Home To Me,Eddie Floyd,19,17.0,17,12,9e3b83f3-1631-4d2d-beb0-7cf619ef3607,danceable,rhy,male,not_aggressive,voice,123.781219482,C,0.956165671349,happy
Papa's Got A Brand New Bag,Otis Redding,21,24.0,21,6,1085e03e-d132-48ac-8da2-27ec2d668a8c,danceable,hip,female,not_aggressive,voice,131.715423584,D#,0.746437251568,not_happy
Magic Carpet Ride,Steppenwolf,24,18.0,3,14,453ddc4d-f8c2-406b-a14a-43dab56da555,not_danceable,rhy,female,not_aggressive,instrumental,110.215385437,E,0.621582686901,not_happy
This Is My Country,The Impressions,25,38.0,25,6,990a43c0-2a0d-4030-a351-1c185919bb2d,not_danceable,cla,male,not_aggressive,voice,102.988349915,C#,0.477982550859,happy
A Ray Of Hope,The Rascals,32,32.0,32,5,35be801e-ad5d-4d2f-8c24-8e67cbea7507,not_danceable,roc,male,not_aggressive,voice,103.522621155,C,0.929937303066,not_happy
Touch Me,The Doors,37,72.0,37,2,e1f18237-dc4f-416c-aa47-abc33286f326,not_danceable,roc,female,not_aggressive,instrumental,110.891235352,F,0.760567486286,happy
The Beginning Of My End,The Unifics,51,71.0,51,4,218bf907-d39d-4f9b-984e-404416b509a4,danceable,rhy,male,not_aggressive,voice,140.561233521,A#,0.803186058998,happy
Put Your Head On My Shoulder,The Lettermen,52,44.0,44,8,37a56798-dbf7-41ba-897c-f08cec5d1925,not_danceable,pop,male,not_aggressive,voice,76.0543365479,F,0.69592577219,not_happy
California Soul,The 5th Dimension,57,62.0,57,3,7e92a2b9-0231-421a-a17d-e9eac814758b,not_danceable,roc,male,not_aggressive,voice,98.9868011475,C,0.93959325552,not_happy
Rockin' In The Same Old Boat,Bobby Bland,58,60.0,58,8,05264be7-2979-47c8-b5c5-07d0f5dd73a1,not_danceable,jaz,male,not_aggressive,voice,151.601699829,A#,0.183484718204,not_happy
I Put A Spell On You,Creedence Clearwater Revival,64,58.0,58,9,fc801bed-c483-4792-9da6-a5e19fcc16da,danceable,roc,male,aggressive,voice,103.241760254,E,0.904831945896,happy
Ramblin' Gamblin' Man,Bob Seger System,65,75.0,65,3,2d7bc711-ac32-4de2-978e-b2e4f9a679c2,danceable,pop,male,aggressive,instrumental,130.530319214,A,0.959428668022,happy
Does Anybody Know I'm Here,The Dells,66,94.0,66,2,24e2fe2f-479a-48b7-b9e0-1461b716da26,not_danceable,rhy,male,not_aggressive,voice,87.4053573608,G,0.617611587048,happy
Rainbow Ride,Andy Kim,73,84.0,73,3,9bce7702-88ea-46c5-bc7e-fdd28c757c9f,danceable,roc,male,not_aggressive,voice,99.9254379272,C#,0.897945523262,happy
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",77,83.0,77,2,8312083e-eeaa-4a59-9618-488b798da9d9,not_danceable,rhy,female,not_aggressive,instrumental,105.368118286,A#,0.752590715885,not_happy
Rain In My Heart,Frank Sinatra,82,,82,1,89039afe-bc2c-460e-b22c-f117d77c70f7,not_danceable,jaz,male,not_aggressive,voice,172.26574707,B,0.195027917624,not_happy
Tit For Tat (Ain't No Taking Back),James Brown,86,86.0,86,3,28780fbd-1f12-4e9a-9515-ac63312648af,not_danceable,rhy,male,not_aggressive,voice,131.706069946,D,0.94475466013,happy
She's A Lady,John Sebastian,89,,89,1,e7b16410-6782-46e3-bafd-f274e7495a94,not_danceable,cla,female,aggressive,voice,140.083221436,A,0.802123367786,happy
