song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy,year,genre_full
Without Me,Halsey,2,2.0,2,12,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy,2019,Rhythm & Blues (R&B)
All I Want For Christmas Is You,Mariah Carey,3,7.0,3,30,88b1a733-5935-47c6-a2b2-9f72f072948f,danceable,pop,female,not_aggressive,voice,150.164459229,G,0.871298909187,happy,2019,Pop
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,5,4.0,4,10,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy,2019,Pop
High Hopes,Panic! At The Disco,6,6.0,5,21,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy,2019,Pop
Happier,Marshmello & Bastille,7,5.0,3,19,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy,2019,Classical
A Holly Jolly Christmas,Burl Ives,10,12.0,10,10,4750a94b-a12c-47dd-a434-7f4b58d4560f,not_danceable,rhy,male,not_aggressive,voice,92.9213485718,C,0.853794634342,happy,2019,Rhythm & Blues (R&B)
Drip Too Hard,Lil Baby & Gunna,12,9.0,4,15,6255bc30-64f8-4a5c-883e-00ddaa421e2f,danceable,hip,female,not_aggressive,voice,112.442695618,A,0.855042338371,not_happy,2019,Hip-Hop
It's The Most Wonderful Time Of The Year,Andy Williams,13,10.0,10,10,bac13621-aed8-43b8-86f2-c3b7762e73eb,not_danceable,pop,male,not_aggressive,voice,101.497619629,D,0.802173256874,happy,2019,Pop
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,18,14.0,11,15,7a4eb25f-ffe0-4065-b9d6-ff343e822901,danceable,hip,male,not_aggressive,voice,143.072921753,A#,0.95696413517,happy,2019,Hip-Hop
Breathin,Ariana Grande,22,19.0,12,19,8daa330b-8d89-42e5-afb1-750144102825,danceable,pop,female,not_aggressive,instrumental,99.5541687012,F,0.933262705803,not_happy,2019,Pop
Better Now,Post Malone,23,21.0,3,35,f4ff2903-27db-47ff-937d-d05bfdbf471f,danceable,pop,female,not_aggressive,voice,144.64906311,A#,0.824171304703,not_happy,2019,Pop
Last Christmas,Wham!,25,27.0,25,9,f069a815-7741-43fd-bb24-9be1f7c3661a,danceable,pop,female,not_aggressive,instrumental,106.96320343,A,0.960412025452,happy,2019,Pop
Sleigh Ride,The Ronettes,26,33.0,26,3,9abaaa73-fa68-4e03-9edc-d1992d9825d4,danceable,pop,female,not_aggressive,voice,91.3818435669,A,0.9461992383,happy,2019,Pop
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,28,35.0,28,3,946361d4-390f-46a3-8348-581f335736c2,not_danceable,jaz,female,not_aggressive,voice,96.5720748901,C,0.857709825039,not_happy,2019,Jazz
